,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
Worst Costs&Deaths,8.0,279.92731898017206,1.5,0.3254510898978581,68.69363848142078,1.5,0.03160564665905585,139.49534338493402,1.5,0.06103482567630086,77.62273905962509,10.0,0.95850316506531,111.31442574980423,1.0,0.2755189012582299,3.5,3.5,1.5
Median Costs,121.0,72.93492287645833,1.0,0.6810811772227222,89.40549730281711,1.0,0.49398556782036,275.6477369777901,1.0,0.23391155407424175,144.7743606240067,1.5,0.04045301041728636,136.22754906311485,1.5,0.6852648630997079,2.5,4.5,4.5
Median Deaths,94.0,273.0819465352153,1.0,0.1687622165493201,80.49048541677908,10.0,0.4450515080188364,303.80659685019896,1.0,0.9643855202314416,104.17790226467281,1.5,0.6463831776201299,80.85035641612413,10.0,0.16576078187396126,3.5,1.5,2.5
